sample,time_s,raw_u16,code12,voltage_V
492,0.246011000,16804,1050,0.846162
493,0.246511000,12387,774,0.623745
494,0.247011000,20148,1259,1.014548
495,0.247510000,35448,2215,1.784976
496,0.248010000,49532,3095,2.494172
497,0.248510000,53837,3364,2.710950
498,0.249009000,46187,2886,2.325736
499,0.249509000,30775,1923,1.549668
500,0.250008000,16740,1046,0.842939
501,0.250508000,12355,772,0.622133
502,0.251014000,20244,1265,1.019382
503,0.251513000,35736,2233,1.799478
504,0.252013000,49612,3100,2.498201
505,0.252513000,53837,3364,2.710950
506,0.253013000,46075,2879,2.320096
507,0.253512000,30647,1915,1.543223
508,0.254012000,16676,1042,0.839716
509,0.254512000,12387,774,0.623745
510,0.255012000,20228,1264,1.018576
511,0.255511000,35592,2224,1.792227
